,sum_max_potential_value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
51,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
52,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
53,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
54,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
55,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
56,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
57,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
58,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
59,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
60,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
61,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
62,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
63,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
64,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
65,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
66,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
67,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
68,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
69,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
70,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
71,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
72,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
73,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
74,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
75,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
