,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
47,390000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
48,400000,45.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
49,410000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
50,420000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
51,430000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
52,440000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
53,450000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
54,460000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
55,470000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
56,480000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
57,490000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
58,500000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
59,510000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
60,520000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
61,530000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
62,540000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
63,550000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
64,560000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
65,570000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
66,580000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
67,590000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
68,600000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
69,610000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
70,620000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
71,630000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
72,640000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
73,650000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
74,660000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
75,670000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
76,680000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
77,690000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
78,700000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
79,710000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
80,720000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
